Entry,Entry name,Protein names,Gene names,Organism,Gene ontology IDs
Q8BKC5,IPO5_MOUSE,Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5),Ipo5 Kpnb3 Ranbp5,Mus musculus (Mouse),GO:0005634; GO:0005737; GO:0006606; GO:0006607; GO:0006610; GO:0008139; GO:0008536; GO:0042307; GO:0061608; GO:0071230
P51817,PRKX_HUMAN,cAMP-dependent protein kinase catalytic subunit PRKX (PrKX) (Protein kinase X) (Protein kinase X-linked) (Serine/threonine-protein kinase PRKX) (EC 2.7.11.1) (Protein kinase PKX1),PRKX PKX1,Homo sapiens (Human),GO:0001525; GO:0001935; GO:0004691; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005952; GO:0007155; GO:0007165; GO:0018105; GO:0030099; GO:0030155; GO:0030334; GO:0031589; GO:0043542; GO:0046777; GO:0060562; GO:0060993; GO:2000696
P68182,KAPCB_RAT,cAMP-dependent protein kinase catalytic subunit beta (PKA C-beta) (EC 2.7.11.11),Prkacb Pkacb,Rattus norvegicus (Rat),GO:0000287; GO:0001843; GO:0004691; GO:0005524; GO:0005634; GO:0005737; GO:0005813; GO:0005829; GO:0005886; GO:0005952; GO:0006468; GO:0007186; GO:0010737; GO:0031625; GO:0034237; GO:0045171; GO:0048471; GO:0051447; GO:0070613; GO:0097338; GO:0097546; GO:1901621
P16912,KAPC3_DROME,cAMP-dependent protein kinase catalytic subunit 3 (EC 2.7.11.1) (Protein kinase DC2),Pka-C3 DC2 CG6117,Drosophila melanogaster (Fruit fly),GO:0004691; GO:0005524; GO:0005952; GO:0006468; GO:0007165; GO:0007476; GO:0018105
G4SLH0,TTN1_CAEEL,Titin homolog (EC 2.7.11.1),ttn-1 W06H8.8,Caenorhabditis elegans,GO:0004674; GO:0005524; GO:0017022; GO:0031672; GO:0031674; GO:0031965; GO:0046872; GO:0051015
Q64678,CP1B1_RAT,Cytochrome P450 1B1 (EC 1.14.14.1) (CYPIB1) (Cytochrome P450RAP) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152),Cyp1b1,Rattus norvegicus (Rat),GO:0001525; GO:0002930; GO:0004497; GO:0005506; GO:0005634; GO:0005739; GO:0005789; GO:0006304; GO:0006725; GO:0006805; GO:0006809; GO:0007155; GO:0007584; GO:0008202; GO:0008210; GO:0008285; GO:0008584; GO:0008631; GO:0009404; GO:0009636; GO:0010033; GO:0010575; GO:0014070; GO:0014911; GO:0016491; GO:0016712; GO:0016829; GO:0019369; GO:0020037; GO:0030199; GO:0030325; GO:0030336; GO:0032088; GO:0032354; GO:0032355; GO:0033629; GO:0042537; GO:0042572; GO:0042574; GO:0043065; GO:0043231; GO:0043542; GO:0044849; GO:0045727; GO:0045766; GO:0046427; GO:0046466; GO:0046685; GO:0048514; GO:0048545; GO:0061298; GO:0061304; GO:0061548; GO:0070301; GO:0070330; GO:0071320; GO:0071356; GO:0071373; GO:0071387; GO:0071393; GO:0071407; GO:0071548; GO:0071603; GO:0071680; GO:0101020; GO:2000377; GO:2000379; GO:2000573
Q1RMT8,IRAK4_BOVIN,Interleukin-1 receptor-associated kinase 4 (IRAK-4) (EC 2.7.11.1),IRAK4,Bos taurus (Bovine),GO:0000287; GO:0001816; GO:0002446; GO:0004674; GO:0005149; GO:0005524; GO:0005634; GO:0005737; GO:0019221; GO:0035556; GO:0043123; GO:0045087; GO:1990266
Q00557,CP1A1_MESAU,Cytochrome P450 1A1 (EC 1.14.14.1) (CYPIA1) (Cytochrome P-450MC) (Cytochrome P450 form 6) (Cytochrome P450-C) (Cytochrome P450-P1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152),CYP1A1,Mesocricetus auratus (Golden hamster),GO:0005506; GO:0005743; GO:0005789; GO:0006631; GO:0006694; GO:0008210; GO:0016829; GO:0020037; GO:0030544; GO:0042572; GO:0051879; GO:0070330; GO:0101020; GO:0101021
P56590,CP1A1_CANLF,Cytochrome P450 1A1 (EC 1.14.14.1) (CYPIA1) (Cytochrome P450 form 6) (Cytochrome P450-C) (Cytochrome P450-P1) (DAH1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152),CYP1A1,Canis lupus familiaris (Dog) (Canis familiaris),GO:0004497; GO:0005506; GO:0005743; GO:0005789; GO:0006631; GO:0006694; GO:0008210; GO:0016829; GO:0020037; GO:0030544; GO:0042572; GO:0043231; GO:0051879; GO:0070330; GO:0101020; GO:0101021
Q76LW2,H6ST2_CHICK,Heparan-sulfate 6-O-sulfotransferase 2 (HS6ST-2) (cHS6ST-2) (EC 2.8.2.-),HS6ST2 RCJMB04_19a20,Gallus gallus (Chicken),GO:0015015; GO:0016021; GO:0017095; GO:0060173
Q9CQ24,FBX36_MOUSE,F-box only protein 36,Fbxo36,Mus musculus (Mouse),
Q14669,TRIPC_HUMAN,E3 ubiquitin-protein ligase TRIP12 (EC 2.3.2.26) (E3 ubiquitin-protein ligase for Arf) (ULF) (HECT-type E3 ubiquitin transferase TRIP12) (Thyroid receptor-interacting protein 12) (TR-interacting protein 12) (TRIP-12),TRIP12 KIAA0045 ULF,Homo sapiens (Human),GO:0000209; GO:0004842; GO:0005634; GO:0005654; GO:0005829; GO:0006281; GO:0006511; GO:0006974; GO:0016607; GO:0045995; GO:0046966; GO:1901315; GO:2000780
Q99J62,RFC4_MOUSE,Replication factor C subunit 4 (Activator 1 subunit 4),Rfc4,Mus musculus (Mouse),GO:0003689; GO:0005524; GO:0005634; GO:0005654; GO:0005663; GO:0006261; GO:0017116; GO:0019899; GO:0031390; GO:0031391; GO:1900264
Q5KQT7,CP1A1_FELCA,Cytochrome P450 1A1 (EC 1.14.14.1) (CYPIA1) (Cytochrome P450 form 6) (Cytochrome P450-C) (Cytochrome P450-P1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152),CYP1A1,Felis catus (Cat) (Felis silvestris catus),GO:0004497; GO:0005506; GO:0005743; GO:0005789; GO:0006631; GO:0006694; GO:0008210; GO:0016829; GO:0020037; GO:0030544; GO:0042572; GO:0043231; GO:0051879; GO:0070330; GO:0101020; GO:0101021
Q9VEX9,SAP18_DROME,Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (Bicoid-interacting protein 1) (dSAP18),Bin1 SAP18 CG6046,Drosophila melanogaster (Fruit fly),GO:0000398; GO:0003714; GO:0005737; GO:0006342; GO:0007275; GO:0008134; GO:0016580; GO:0045892; GO:0071011; GO:0071013
P13667,PDIA4_HUMAN,Protein disulfide-isomerase A4 (EC 5.3.4.1) (Endoplasmic reticulum resident protein 70) (ER protein 70) (ERp70) (Endoplasmic reticulum resident protein 72) (ER protein 72) (ERp-72) (ERp72),PDIA4 ERP70 ERP72,Homo sapiens (Human),GO:0003723; GO:0003756; GO:0005615; GO:0005623; GO:0005783; GO:0005788; GO:0006457; GO:0009306; GO:0009986; GO:0015037; GO:0034976; GO:0042470; GO:0045454; GO:0061077
O54826,AF10_MOUSE,Protein AF-10,Mllt10 Af10,Mus musculus (Mouse),GO:0003682; GO:0005634; GO:0005654; GO:0005829; GO:0031491; GO:0032991; GO:0042393; GO:0045944; GO:0046872
Q9Z1W9,STK39_MOUSE,STE20/SPS1-related proline-alanine-rich protein kinase (Ste-20-related kinase) (EC 2.7.11.1) (Serine/threonine-protein kinase 39),Stk39 Spak,Mus musculus (Mouse),GO:0000187; GO:0004672; GO:0004674; GO:0005524; GO:0005654; GO:0005737; GO:0005829; GO:0005856; GO:0006468; GO:0008217; GO:0010820; GO:0016020; GO:0016301; GO:0016323; GO:0016324; GO:0018105; GO:0018107; GO:0019898; GO:0019901; GO:0023014; GO:0023016; GO:0032147; GO:0032414; GO:0035556; GO:0036438; GO:0038146; GO:0043231; GO:0043268; GO:0046777; GO:0050727; GO:0050801; GO:0071476; GO:0090188; GO:1901017; GO:1901380; GO:1905408; GO:1990869; GO:2000650
A7MBJ4,PTPRF_BOVIN,Receptor-type tyrosine-protein phosphatase F (EC 3.1.3.48),PTPRF,Bos taurus (Bovine),GO:0004725; GO:0006470; GO:0008201; GO:0016021; GO:0016477; GO:0035335; GO:0099560; GO:1900121
P50592,TNF10_MOUSE,Tumor necrosis factor ligand superfamily member 10 (TNF-related apoptosis-inducing ligand) (Protein TRAIL) (CD antigen CD253),Tnfsf10 Trail,Mus musculus (Mouse),GO:0005125; GO:0005164; GO:0005615; GO:0005886; GO:0006915; GO:0006955; GO:0008270; GO:0008584; GO:0016021; GO:0032813; GO:0032868; GO:0042802; GO:0043065; GO:0043123; GO:0043280; GO:0045569; GO:0090200; GO:2001238
P04052,RPB1_DROME,DNA-directed RNA polymerase II subunit RPB1 (RNA polymerase II subunit B1) (EC 2.7.7.6) (DNA-directed RNA polymerase III largest subunit),RpII215 CG1554,Drosophila melanogaster (Fruit fly),GO:0003677; GO:0003899; GO:0005634; GO:0005665; GO:0005700; GO:0005703; GO:0006366; GO:0046872
Q2T9Z7,KLHL9_BOVIN,Kelch-like protein 9,KLHL9,Bos taurus (Bovine),GO:0007049; GO:0016567; GO:0030496; GO:0031463; GO:0032465; GO:0051301
P07291,MLE_ARGIR,"Myosin essential light chain, striated adductor muscle (E-LC) (Sulfhydryl light chain) (SHLC)",,Argopecten irradians (Bay scallop) (Aequipecten irradians),GO:0005509; GO:0016459
Q2KMM2,TPPC1_RAT,Trafficking protein particle complex subunit 1,Trappc1,Rattus norvegicus (Rat),GO:0005783; GO:0005794; GO:0006888; GO:0017112; GO:0030008
P62322,LSM5_MOUSE,U6 snRNA-associated Sm-like protein LSm5,Lsm5,Mus musculus (Mouse),GO:0000398; GO:0003723; GO:0005634; GO:0005688; GO:0005737; GO:0006402; GO:0009617; GO:0046540; GO:0046982; GO:0071005; GO:0120115; GO:1990726
Q9Y2G3,AT11B_HUMAN,Probable phospholipid-transporting ATPase IF (EC 7.6.2.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B),ATP11B ATPIF ATPIR KIAA0956,Homo sapiens (Human),GO:0000287; GO:0005524; GO:0005637; GO:0005769; GO:0005783; GO:0005802; GO:0005886; GO:0006811; GO:0015075; GO:0015917; GO:0016020; GO:0016021; GO:0034220; GO:0035577; GO:0043312; GO:0045332; GO:0055037; GO:0055038; GO:0140326
P43006,EAA2_MOUSE,Excitatory amino acid transporter 2 (GLT-1) (Sodium-dependent glutamate/aspartate transporter 2) (Solute carrier family 1 member 2),Slc1a2 Eaat2 Glt1,Mus musculus (Mouse),GO:0005313; GO:0005314; GO:0005886; GO:0005887; GO:0007399; GO:0007632; GO:0008509; GO:0009416; GO:0009611; GO:0009986; GO:0010259; GO:0015501; GO:0015813; GO:0016020; GO:0021537; GO:0030424; GO:0030534; GO:0030673; GO:0031668; GO:0035264; GO:0042493; GO:0042734; GO:0043005; GO:0043197; GO:0043198; GO:0043200; GO:0045202; GO:0046326; GO:0046872; GO:0070207; GO:0070779; GO:0098656; GO:0098712; GO:0098810; GO:0098978; GO:0099056
P18761,CAH6_MOUSE,Carbonic anhydrase 6 (EC 4.2.1.1) (Carbonate dehydratase VI) (Carbonic anhydrase VI) (CA-VI) (Salivary carbonic anhydrase) (Secreted carbonic anhydrase),Ca6 Car6,Mus musculus (Mouse),GO:0001580; GO:0004089; GO:0005615; GO:0005737; GO:0005829; GO:0006730; GO:0008270
Q9CS00,CATIN_MOUSE,Cactin,Cactin,Mus musculus (Mouse),GO:0001933; GO:0005634; GO:0005654; GO:0005829; GO:0006397; GO:0007275; GO:0008380; GO:0016607; GO:0031665; GO:0032088; GO:0032688; GO:0032717; GO:0032720; GO:0034122; GO:0045087; GO:0060339; GO:0071013; GO:0071222; GO:0071347; GO:0071356
B1H2T2,DIK2A_XENTR,Divergent protein kinase domain 2A (Deleted in autism protein 1 homolog),dipk2a,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),GO:0005615; GO:0014066; GO:0030126; GO:0060038
Q99J21,MCLN1_MOUSE,Mucolipin-1 (Mucolipidin) (Transient receptor potential-mucolipin 1) (TRPML1),Mcoln1,Mus musculus (Mouse),GO:0001891; GO:0002250; GO:0005261; GO:0005623; GO:0005654; GO:0005764; GO:0005765; GO:0005770; GO:0005794; GO:0005886; GO:0008289; GO:0016020; GO:0016021; GO:0016197; GO:0030670; GO:0031902; GO:0042995; GO:0043231; GO:0043235; GO:0051209; GO:0051289; GO:0070588; GO:0071277; GO:0071467; GO:0072345; GO:0097352; GO:0097682; GO:0097708; GO:0098655; GO:0099604
Q6PBU5,GRT1A_DANRE,Growth hormone-regulated TBC protein 1-A,grtp1a grtp1,Danio rerio (Zebrafish) (Brachydanio rerio),GO:0005096; GO:0006886; GO:0017137; GO:0090630
Q3MHL6,T22D1_BOVIN,TSC22 domain family protein 1,TSC22D1,Bos taurus (Bovine),GO:0003700; GO:0005634; GO:0005737
Q9H095,DRC9_HUMAN,Dynein regulatory complex protein 9 (IQ domain-containing protein G),IQCG DRC9,Homo sapiens (Human),GO:0002177; GO:0005516; GO:0005737; GO:0007286; GO:0007288; GO:0030544; GO:0031514; GO:0036126; GO:0044782; GO:0070062
P04646,RL35A_RAT,60S ribosomal protein L35a,Rpl35a,Rattus norvegicus (Rat),GO:0000049; GO:0002181; GO:0003735; GO:0022625; GO:0042273
Q5SGD2,PPM1L_HUMAN,Protein phosphatase 1L (EC 3.1.3.16) (Protein phosphatase 1-like) (Protein phosphatase 2C isoform epsilon) (PP2C-epsilon),PPM1L PP2CE,Homo sapiens (Human),GO:0000165; GO:0004722; GO:0004724; GO:0005789; GO:0007178; GO:0016021; GO:0030148; GO:0046872; GO:0070062
Q6NX31,MCM7_XENTR,DNA replication licensing factor mcm7 (EC 3.6.4.12) (CDC47 homolog) (Minichromosome maintenance protein 7),mcm7 TGas137h09.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),GO:0000727; GO:0000785; GO:0003678; GO:0003688; GO:0003697; GO:0005524; GO:0005634; GO:0006267; GO:0006268; GO:0006270; GO:0006271; GO:0030174; GO:0042555; GO:0046872
A2ARI4,LGR4_MOUSE,Leucine-rich repeat-containing G-protein coupled receptor 4 (G-protein coupled receptor 48),Lgr4 Gpr48,Mus musculus (Mouse),GO:0001649; GO:0001942; GO:0004888; GO:0005887; GO:0007186; GO:0007283; GO:0007411; GO:0007623; GO:0008201; GO:0016500; GO:0030282; GO:0030539; GO:0032922; GO:0034122; GO:0035239; GO:0036335; GO:0045087; GO:0045892; GO:0045893; GO:0046849; GO:0048495; GO:0048565; GO:0050673; GO:0050710; GO:0050919; GO:0061290; GO:0072202; GO:0072224; GO:0072282; GO:0090190; GO:0090263; GO:0120163; GO:2001013
Q9WYP5,IOLG_THEMA,Myo-inositol 2-dehydrogenase (EC 1.1.1.18),iolG TM_0414,Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099),GO:0006020; GO:0006740; GO:0016491; GO:0050112
Q9CSP9,TTC14_MOUSE,Tetratricopeptide repeat protein 14 (TPR repeat protein 14),Ttc14 Kiaa1980,Mus musculus (Mouse),GO:0003676
O17482,TIM_DROVI,Protein timeless,tim,Drosophila virilis (Fruit fly),GO:0005634; GO:0048471; GO:0048511
Q3KTM2,GDPD5_CHICK,Glycerophosphodiester phosphodiesterase domain-containing protein 5 (EC 3.1.4.11) (Glycerophosphodiester phosphodiesterase 2),GDPD5 GDE2,Gallus gallus (Chicken),GO:0004435; GO:0006629; GO:0008889; GO:0012505; GO:0016021; GO:0030426; GO:0045666; GO:0048471
Q32LQ6,MFSD1_DANRE,Major facilitator superfamily domain-containing protein 1,mfsd1 zgc:123187,Danio rerio (Zebrafish) (Brachydanio rerio),GO:0016021; GO:0055085
O35161,CELR1_MOUSE,Cadherin EGF LAG seven-pass G-type receptor 1,Celsr1,Mus musculus (Mouse),GO:0001702; GO:0001736; GO:0001764; GO:0001843; GO:0001942; GO:0004888; GO:0004930; GO:0005509; GO:0005654; GO:0005886; GO:0005887; GO:0007156; GO:0007165; GO:0007186; GO:0007266; GO:0007267; GO:0007417; GO:0007626; GO:0009952; GO:0016020; GO:0032956; GO:0042060; GO:0042249; GO:0042472; GO:0045176; GO:0046928; GO:0046983; GO:0048105; GO:0060488; GO:0060489; GO:0060490; GO:0090179; GO:0090251; GO:0098609
P56490,ACM5_MACMU,Muscarinic acetylcholine receptor M5,CHRM5,Macaca mulatta (Rhesus macaque),GO:0001696; GO:0004930; GO:0004993; GO:0005887; GO:0007187; GO:0007197; GO:0007268; GO:0015872; GO:0016907; GO:0019226; GO:0030054; GO:0030425; GO:0030594; GO:0045211
Q58HI1,PELP1_XENLA,"Proline-, glutamic acid- and leucine-rich protein 1 (Modulator of non-genomic activity of estrogen receptor)",pelp1 mnar,Xenopus laevis (African clawed frog),GO:0003682; GO:0005737; GO:0035327; GO:0045944; GO:0071339; GO:0071391
Q61625,GRID2_MOUSE,"Glutamate receptor ionotropic, delta-2 (GluD2) (GluR delta-2 subunit)",Grid2,Mus musculus (Mouse),GO:0004970; GO:0005886; GO:0007157; GO:0008066; GO:0008328; GO:0010975; GO:0014069; GO:0016020; GO:0021707; GO:0030054; GO:0030165; GO:0034613; GO:0035249; GO:0036477; GO:0042802; GO:0043197; GO:0043523; GO:0045202; GO:0045211; GO:0050804; GO:0051965; GO:0060079; GO:0060134; GO:0097110; GO:0098688; GO:0098839; GO:0098978; GO:0099061; GO:0099151; GO:1900454; GO:1904315; GO:1904861; GO:1905606
Q8CB62,CNTRB_MOUSE,Centrobin (Centrosomal BRCA2-interacting protein) (LYST-interacting protein 8),Cntrob Lip8,Mus musculus (Mouse),GO:0005813; GO:0005814; GO:0005829; GO:0007099; GO:0019904; GO:0051299; GO:1902017; GO:1902410
Q8IYB9,ZN595_HUMAN,Zinc finger protein 595,ZNF595,Homo sapiens (Human),GO:0003677; GO:0005634; GO:0006355; GO:0046872
Q9GMA3,VSX1_BOVIN,Visual system homeobox 1 (Homeodomain protein RINX) (Retinal inner nuclear layer homeobox protein) (Transcription factor VSX1),VSX1 RINX,Bos taurus (Bovine),GO:0003682; GO:0005634; GO:0006355; GO:0007601; GO:0043565; GO:0044212; GO:0048666; GO:0050896
Q93373,LET4_CAEEL,Leucine-rich repeat-containing protein let-4 (Lethal protein 4),let-4 sym-5 C44H4.2,Caenorhabditis elegans,GO:0002064; GO:0002119; GO:0009792; GO:0016021; GO:0016324; GO:0035150; GO:0045177; GO:1905710
Q7SYH5,SC5A8_XENLA,Sodium-coupled monocarboxylate transporter 1 (Electrogenic sodium monocarboxylate cotransporter) (xSMCTe) (Sodium solute transporter Vito) (Solute carrier family 5 member 8),slc5a8 smcte vito,Xenopus laevis (African clawed frog),GO:0006814; GO:0015293; GO:0016021
Q8BYF6,SC5A8_MOUSE,Sodium-coupled monocarboxylate transporter 1 (Electrogenic sodium monocarboxylate cotransporter) (Solute carrier family 5 member 8),Slc5a8 Smct Smct1,Mus musculus (Mouse),GO:0005343; GO:0006915; GO:0015129; GO:0015552; GO:0015636; GO:0015718; GO:0015730; GO:0015913; GO:0016021; GO:0016324; GO:0031526; GO:0140161
Q7ZUV7,EMSY_DANRE,BRCA2-interacting transcriptional repressor EMSY,emsy zgc:56039,Danio rerio (Zebrafish) (Brachydanio rerio),GO:0005634; GO:0006281; GO:0006325; GO:0006355
A6H7C9,CEP19_BOVIN,Centrosomal protein of 19 kDa (Cep19),CEP19,Bos taurus (Bovine),GO:0000922; GO:0005623; GO:0005737; GO:0005813; GO:0005814; GO:0034454; GO:0036064; GO:0060271; GO:0097712
Q967F4,HMR1_CAEEL,Cadherin-related hmr-1 (Protein Hammerhead),hmr-1 W02B9.1,Caenorhabditis elegans,GO:0000132; GO:0003384; GO:0005509; GO:0005623; GO:0005913; GO:0007016; GO:0007156; GO:0007369; GO:0007399; GO:0008013; GO:0009792; GO:0016342; GO:0016477; GO:0030866; GO:0042074; GO:0044214; GO:0070097; GO:0098609
Q5ZIT9,MFSD1_CHICK,Major facilitator superfamily domain-containing protein 1,MFSD1 RCJMB04_23j9,Gallus gallus (Chicken),GO:0016021; GO:0055085
Q8IVB4,SL9A9_HUMAN,Sodium/hydrogen exchanger 9 (Na(+)/H(+) exchanger 9) (NHE-9) (Solute carrier family 9 member 9),SLC9A9 NHE9 Nbla00118,Homo sapiens (Human),GO:0005623; GO:0005886; GO:0006811; GO:0015385; GO:0015386; GO:0016021; GO:0031902; GO:0051453; GO:0055037; GO:0071805; GO:0098719
Q01705,NOTC1_MOUSE,Neurogenic locus notch homolog protein 1 (Notch 1) (Motch A) (mT14) (p300) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)],Notch1 Motch,Mus musculus (Mouse),GO:0000122; GO:0000139; GO:0000978; GO:0001228; GO:0001669; GO:0001701; GO:0001708; GO:0001726; GO:0001837; GO:0001889; GO:0001947; GO:0002040; GO:0002051; GO:0002052; GO:0002193; GO:0002437; GO:0003151; GO:0003157; GO:0003160; GO:0003162; GO:0003169; GO:0003180; GO:0003181; GO:0003182; GO:0003184; GO:0003192; GO:0003197; GO:0003198; GO:0003203; GO:0003207; GO:0003208; GO:0003209; GO:0003213; GO:0003214; GO:0003219; GO:0003222; GO:0003241; GO:0003252; GO:0003256; GO:0003264; GO:0003270; GO:0003273; GO:0003332; GO:0003344; GO:0003682; GO:0003700; GO:0004857; GO:0004888; GO:0005112; GO:0005509; GO:0005576; GO:0005634; GO:0005654; GO:0005737; GO:0005783; GO:0005789; GO:0005794; GO:0005829; GO:0005856; GO:0005886; GO:0005887; GO:0005912; GO:0006357; GO:0006959; GO:0007050; GO:0007219; GO:0007221; GO:0007283; GO:0007368; GO:0007386; GO:0007409; GO:0007440; GO:0007492; GO:0007507; GO:0008284; GO:0008285; GO:0008544; GO:0008593; GO:0009912; GO:0009986; GO:0010001; GO:0010468; GO:0010614; GO:0010628; GO:0010629; GO:0010718; GO:0010812; GO:0010832; GO:0014031; GO:0014807; GO:0016324; GO:0019899; GO:0021515; GO:0021915; GO:0030027; GO:0030154; GO:0030182; GO:0030216; GO:0030279; GO:0030324; GO:0030326; GO:0030334; GO:0030335; GO:0030513; GO:0030514; GO:0030900; GO:0031069; GO:0031100; GO:0031410; GO:0031490; GO:0031960; GO:0032495; GO:0032496; GO:0035116; GO:0035148; GO:0035914; GO:0035924; GO:0042127; GO:0042246; GO:0043065; GO:0043086; GO:0043235; GO:0043565; GO:0045070; GO:0045165; GO:0045596; GO:0045603; GO:0045607; GO:0045608; GO:0045618; GO:0045662; GO:0045665; GO:0045668; GO:0045687; GO:0045747; GO:0045892; GO:0045893; GO:0045944; GO:0045955; GO:0045967; GO:0046427; GO:0046533; GO:0046579; GO:0048103; GO:0048663; GO:0048708; GO:0048709; GO:0048711; GO:0048715; GO:0048754; GO:0048845; GO:0048873; GO:0050434; GO:0050678; GO:0050679; GO:0050767; GO:0050768; GO:0055008; GO:0060038; GO:0060045; GO:0060253; GO:0060271; GO:0060317; GO:0060411; GO:0060412; GO:0060528; GO:0060548; GO:0060740; GO:0060768; GO:0060842; GO:0060843; GO:0060948; GO:0060956; GO:0060979; GO:0060982; GO:0061314; GO:0061344; GO:0061384; GO:0061419; GO:0062043; GO:0070168; GO:0070374; GO:0070986; GO:0071372; GO:0071944; GO:0072017; GO:0072044; GO:0072144; GO:0072602; GO:0090051; GO:0090090; GO:0097150; GO:0120163; GO:1901189; GO:1901201; GO:1902263; GO:1902339; GO:1903849; GO:2000737; GO:2000811; GO:2000974; GO:2001027
Q86GC8,ACES_CULPI,Acetylcholinesterase (AChE) (EC 3.1.1.7),ACHE1,Culex pipiens (House mosquito),GO:0003990; GO:0005576; GO:0005886; GO:0030054; GO:0042135; GO:0045202
Q6DCL6,DIK1A_XENLA,Divergent protein kinase domain 1A (Protein FAM69A),dipk1a fam69a,Xenopus laevis (African clawed frog),GO:0005789; GO:0016021
Q5UBV8,TNF15_MOUSE,Tumor necrosis factor ligand superfamily member 15 (TNF ligand-related molecule 1) (Vascular endothelial cell growth inhibitor),Tnfsf15 Tl1 Vegi,Mus musculus (Mouse),GO:0005123; GO:0005125; GO:0005164; GO:0005615; GO:0005886; GO:0006915; GO:0006919; GO:0006955; GO:0007250; GO:0016021; GO:0042107; GO:0050715
P81134,RENR_BOVIN,Renin receptor (ATPase H(+)-transporting lysosomal accessory protein 2) (ATPase H(+)-transporting lysosomal-interacting protein 2) (Renin/prorenin receptor) (Vacuolar ATP synthase membrane sector-associated protein M8-9) (V-ATPase M8.9 subunit) [Cleaved into: Renin receptor extracellular fragment; Renin receptor cytoplasmic fragment],ATP6AP2 ATP6IP2,Bos taurus (Bovine),GO:0000421; GO:0005765; GO:0005789; GO:0009897; GO:0016021; GO:0030054; GO:0030177; GO:0030424; GO:0031410; GO:0032591; GO:0038023; GO:0045211
A2AF47,DOC11_MOUSE,Dedicator of cytokinesis protein 11 (Activated Cdc42-associated guanine nucleotide exchange factor) (ACG) (Zizimin-2),Dock11 Ziz2,Mus musculus (Mouse),GO:0001782; GO:0002315; GO:0005085; GO:0005089; GO:0007264; GO:0017048; GO:0043547; GO:0051491
Q5JSL3,DOC11_HUMAN,Dedicator of cytokinesis protein 11 (Activated Cdc42-associated guanine nucleotide exchange factor) (ACG) (Zizimin-2),DOCK11 ZIZ2,Homo sapiens (Human),GO:0001782; GO:0002315; GO:0005085; GO:0005089; GO:0005829; GO:0007264; GO:0007596; GO:0043547; GO:0051491
Q9BZ29,DOCK9_HUMAN,Dedicator of cytokinesis protein 9 (Cdc42 guanine nucleotide exchange factor zizimin-1) (Zizimin-1),DOCK9 KIAA1058 ZIZ1,Homo sapiens (Human),GO:0005085; GO:0005829; GO:0007264; GO:0007596; GO:0012505; GO:0016020; GO:0043547; GO:0045296
Q9Y625,GPC6_HUMAN,Glypican-6 [Cleaved into: Secreted glypican-6],GPC6 UNQ369/PRO705,Homo sapiens (Human),GO:0001523; GO:0005576; GO:0005615; GO:0005634; GO:0005796; GO:0005886; GO:0006024; GO:0006027; GO:0009966; GO:0009986; GO:0016477; GO:0043202; GO:0045202; GO:0046658; GO:0062023; GO:0098696; GO:0098978; GO:0099560; GO:1904929; GO:1905475; GO:1905606
A4FUB0,CE034_BOVIN,Uncharacterized protein C5orf34 homolog,,Bos taurus (Bovine),
Q92035,ACES_BUNFA,Acetylcholinesterase (BfAChE) (EC 3.1.1.7),ACHE,Bungarus fasciatus (Banded krait) (Pseudoboa fasciata),GO:0001507; GO:0003990; GO:0005886; GO:0009405; GO:0030054; GO:0043083; GO:0090729
Q0DZP5,CML17_ORYSJ,Probable calcium-binding protein CML17 (Calmodulin-like protein 17),CML17 Os02g0606600 LOC_Os02g39380,Oryza sativa subsp. japonica (Rice),GO:0005509
E2RYF6,MUC22_HUMAN,Mucin-22 (Panbronchiolitis-related mucin-like protein 1),MUC22 G4 PBMUCL1,Homo sapiens (Human),GO:0016021
Q8BP78,F10C1_MOUSE,Protein FRA10AC1 homolog,Fra10ac1,Mus musculus (Mouse),GO:0005634
Q58DA0,PSMD4_BOVIN,26S proteasome non-ATPase regulatory subunit 4 (26S proteasome regulatory subunit RPN10),PSMD4,Bos taurus (Bovine),GO:0005634; GO:0005829; GO:0008540; GO:0022624; GO:0031593; GO:0043161; GO:0043248
Q9SE95,FIP2_ARATH,FH protein interacting protein FIP2 (BTB/POZ domain-containing protein At5g55000),FIP2 At5g55000 MBG8.27,Arabidopsis thaliana (Mouse-ear cress),GO:0016567; GO:0051260
Q8R3N1,NOP14_MOUSE,Nucleolar protein 14 (Nucleolar complex protein 14),Nop14 Nol14,Mus musculus (Mouse),GO:0005654; GO:0005730; GO:0006364; GO:0019899; GO:0030515; GO:0030692; GO:0032040; GO:0042274
